var,para,mean,sd,2.5%,50%,97.5%,Rhat,n.eff,y
(Intercept),b[1],2.2668038466666665,0.11930959421756734,2.08025375,2.2499200000000004,2.5508607500000005,1.24,106,creek_chub
length0,b[2],0.8399172493399999,0.39290586658845594,-0.37412562499999996,0.9091229999999999,1.36428425,2.26,32,creek_chub
area_ucb,b[3],0.00704140325906666,0.08193053878716937,-0.1354167,0.001576035,0.1848584750000002,1.09,238,creek_chub
mean_temp,b[4],0.12917749525599995,0.1335615369857148,-0.111466575,0.11749699999999999,0.434279125,1.18,99,creek_chub
adj_density_bluehead_chub,b[5],0.5934396522953335,0.36141509903218816,-0.12187429999999998,0.581087,1.233,1.23,18,creek_chub
adj_density_creek_chub,b[6],0.6614779222299999,0.6917901201828676,-0.9893511749999999,0.7210185,1.8194895000000002,2.49,13,creek_chub
adj_density_green_sunfish,b[7],1.2026916860933334,0.7438772424033674,-0.47642657499999996,1.2043650000000001,2.33414225,2.56,13,creek_chub
adj_density_redbreast_sunfish,b[8],-1.9043263001,0.930417148550245,-3.4055535,-1.808055,-0.20721377499999996,2.86,8,creek_chub
int_bhc,b[9],-0.5299104401587332,0.3323929648224613,-1.1349585,-0.5063865000000001,0.09132638750000016,1.22,22,creek_chub
int_crc,b[10],-0.7034299601296999,0.7587046733746602,-1.9619895,-0.796864,1.1705050000000001,2.52,11,creek_chub
int_gsf,b[11],-1.1857706652766669,0.78885940980506,-2.56761725,-1.183345,0.48367970000000005,2.57,12,creek_chub
int_rbs,b[12],1.4261755108966674,0.9357216723757158,-0.3729107,1.369265,3.0404910000000003,2.95,8,creek_chub
