var,para,mean,sd,2.5%,50%,97.5%,Rhat,n.eff,y
(Intercept),b[1],1.5140002333333333,0.16043988587881078,1.2135165,1.5093100000000002,1.8355307500000002,1,218,redbreast_sunfish
length0,b[2],-0.6861169018256666,0.4444972614905778,-1.55875225,-0.690584,0.19476817500000032,1.23,30,redbreast_sunfish
area_ucb,b[3],-1.1782487,0.3192069976588415,-1.7338515,-1.21277,-0.4249246499999999,1.1,60,redbreast_sunfish
mean_temp,b[4],0.14275015913733333,0.17146364675560727,-0.192522825,0.13854149999999998,0.47286130000000004,1.15,178,redbreast_sunfish
adj_density_bluehead_chub,b[5],1.8388815538666665,0.7049303080411554,0.492484575,1.828085,3.203636000000001,1.35,24,redbreast_sunfish
adj_density_creek_chub,b[6],-1.8895824773,0.5853680723527379,-2.9521515,-1.94212,-0.5563550499999994,1.19,29,redbreast_sunfish
adj_density_green_sunfish,b[7],0.48147830321223356,0.8845718254016687,-1.2243519999999999,0.4074115,2.3960485000000005,1.24,15,redbreast_sunfish
adj_density_redbreast_sunfish,b[8],-3.538646590666666,0.94265811601007,-5.1919562500000005,-3.5884150000000004,-1.4178342499999985,1.14,18,redbreast_sunfish
int_bhc,b[9],-1.6803374821,0.7150508449086602,-3.166298,-1.67348,-0.29892915,1.35,27,redbreast_sunfish
int_crc,b[10],2.4222485946666668,0.5502571568910622,1.28002875,2.43433,3.4128552500000007,1.11,34,redbreast_sunfish
int_gsf,b[11],-0.6258400614783335,0.854572106568338,-2.4428935000000003,-0.554867,0.9213938750000001,1.21,16,redbreast_sunfish
int_rbs,b[12],3.3944806400000003,0.8707218846222806,1.5560385,3.44308,4.932107,1.1,16,redbreast_sunfish
