"occasion","date","tag","species","section","length","weight","recap","mortality","fin_recap","f_occasion","julian"
2,2021-02-06,"ID900.226001167700","bluegill",10,100,13.3,"n","n","n","occ2",18664
2,2021-02-06,"ID900.226001167701","bluehead_chub",10,126,24.5,"n","n","n","occ2",18664
1,2020-11-08,"ID900.226001167702","creek_chub",42,98,9.1,"n","n","n","occ1",18574
3,2021-05-15,"ID900.226001167702","creek_chub",13,106,13.9,"y","n","n","occ3",18762
2,2021-02-06,"ID900.226001167703","redbreast_sunfish",10,87,9.9,"n","n","n","occ2",18664
1,2020-11-07,"ID900.226001167704","creek_chub",25,114,14.7,"n","n","n","occ1",18573
2,2021-02-06,"ID900.226001167705","green_sunfish",10,73,6,"n","n","n","occ2",18664
2,2021-02-06,"ID900.226001167706","green_sunfish",10,78,6.4,"n","n","n","occ2",18664
1,2020-11-08,"ID900.226001167707","redbreast_sunfish",35,85,10.2,"n","n","n","occ1",18574
1,2020-11-08,"ID900.226001167708","green_sunfish",35,98,15.6,"n","n","n","occ1",18574
3,2021-05-16,"ID900.226001167708","green_sunfish",35,112,27.5,"y","n","n","occ3",18763
2,2021-02-06,"ID900.226001167709","redbreast_sunfish",10,97,13.6,"n","n","n","occ2",18664
1,2020-11-08,"ID900.226001167710","creek_chub",42,90,7.5,"n","n","n","occ1",18574
3,2021-05-16,"ID900.226001167710","creek_chub",32,91,8.9,"y","n","n","occ3",18763
1,2020-11-07,"ID900.226001167711","creek_chub",22,88,6.5,"n","n","n","occ1",18573
1,2020-11-08,"ID900.226001167712","creek_chub",42,107,13.3,"n","n","n","occ1",18574
1,2020-11-08,"ID900.226001167713","bluegill",34,78,5.8,"n","n","n","occ1",18574
1,2020-11-07,"ID900.226001167714","creek_chub",24,149,35.1,"n","n","n","occ1",18573
2,2021-02-06,"ID900.226001167715","redbreast_sunfish",10,90,10.6,"n","n","n","occ2",18664
3,2021-05-15,"ID900.226001167715","redbreast_sunfish",11,99,16.2,"y","n","n","occ3",18762
6,2022-02-12,"ID900.226001167715","redbreast_sunfish",10,96,13.2,"y","n","n","occ6",19035
7,2022-05-03,"ID900.226001167715","redbreast_sunfish",11,105,20.2,"y","n","n","occ7",19115
2,2021-02-06,"ID900.226001167716","redbreast_sunfish",10,92,10.9,"n","n","n","occ2",18664
1,2020-11-08,"ID900.226001167717","creek_chub",42,87,7,"n","n","n","occ1",18574
1,2020-11-07,"ID900.226001167718","bluehead_chub",22,96,8.7,"n","n","n","occ1",18573
2,2021-02-06,"ID900.226001167718","bluehead_chub",20,96,9.9,"y","n","n","occ2",18664
2,2021-02-06,"ID900.226001167719","redbreast_sunfish",10,112,23.1,"n","n","n","occ2",18664
6,2022-02-12,"ID900.226001167719","redbreast_sunfish",13,135,37.6,"y","n","n","occ6",19035
2,2021-02-06,"ID900.226001167720","green_sunfish",10,84,8.7,"n","n","n","occ2",18664
5,2021-11-13,"ID900.226001167720","green_sunfish",10,109,20.2,"y","n","n","occ5",18944
1,2020-11-07,"ID900.226001167721","creek_chub",24,89,6.5,"n","n","n","occ1",18573
1,2020-11-07,"ID900.226001167722","creek_chub",25,94,8.2,"n","n","n","occ1",18573
2,2021-02-06,"ID900.226001167722","creek_chub",23,95,9,"y","n","n","occ2",18664
1,2020-11-08,"ID900.226001167723","redbreast_sunfish",42,112,20.7,"n","n","n","occ1",18574
2,2021-02-21,"ID900.226001167723","redbreast_sunfish",43,112,20.8,"y","n","n","occ2",18679
3,2021-05-16,"ID900.226001167723","redbreast_sunfish",42,122,32.7,"y","n","n","occ3",18763
1,2020-11-08,"ID900.226001167724","redbreast_sunfish",39,64,4,"n","n","n","occ1",18574
3,2021-05-16,"ID900.226001167724","redbreast_sunfish",39,72,7.1,"y","n","n","occ3",18763
4,2021-08-14,"ID900.226001167724","redbreast_sunfish",37,83,9.5,"y","n","n","occ4",18853
7,2022-05-04,"ID900.226001167724","redbreast_sunfish",35,92,13.5,"y","n","n","occ7",19116
1,2020-11-07,"ID900.226001167725","bluegill",22,78,6.9,"n","n","n","occ1",18573
1,2020-11-07,"ID900.226001167726","creek_chub",24,92,7.8,"n","n","n","occ1",18573
2,2021-02-06,"ID900.226001167726","creek_chub",23,94,8.9,"y","n","n","occ2",18664
1,2020-11-07,"ID900.226001167727","creek_chub",24,92,8.1,"n","n","n","occ1",18573
2,2021-02-06,"ID900.226001167728","redbreast_sunfish",11,104,17.5,"n","n","n","occ2",18664
1,2020-11-08,"ID900.226001167729","redbreast_sunfish",35,106,18.4,"n","n","n","occ1",18574
1,2020-11-08,"ID900.226001167730","green_sunfish",35,145,54.3,"n","n","n","occ1",18574
1,2020-11-08,"ID900.226001167731","creek_chub",43,99,10.5,"n","n","n","occ1",18574
4,2021-08-13,"ID900.226001167731","creek_chub",2,111,15.2,"y","n","n","occ4",18852
1,2020-11-07,"ID900.226001167732","creek_chub",24,103,11.8,"n","n","n","occ1",18573
1,2020-11-08,"ID900.226001167733","creek_chub",35,160,50.8,"n","n","n","occ1",18574
2,2021-02-06,"ID900.226001167733","creek_chub",7,167,50.8,"y","n","n","occ2",18664
1,2020-11-08,"ID900.226001167734","green_sunfish",35,77,8.2,"n","n","n","occ1",18574
2,2021-02-06,"ID900.226001167735","creek_chub",10,110,14.4,"n","n","n","occ2",18664
1,2020-11-08,"ID900.226001167736","bluehead_chub",42,113,17.8,"n","n","n","occ1",18574
2,2021-02-06,"ID900.226001167737","redbreast_sunfish",10,84,8.9,"n","n","n","occ2",18664
4,2021-08-14,"ID900.226001167737","redbreast_sunfish",35,94,14,"y","n","n","occ4",18853
2,2021-02-06,"ID900.226001167738","bluegill",10,85,8.6,"n","n","n","occ2",18664
3,2021-05-15,"ID900.226001167738","bluegill",10,96,13.7,"y","n","n","occ3",18762
4,2021-08-13,"ID900.226001167738","bluegill",13,100,15.6,"y","n","n","occ4",18852
1,2020-11-07,"ID900.226001167739","creek_chub",23,98,9.5,"n","n","n","occ1",18573
1,2020-11-08,"ID900.226001167740","bluegill",35,99,14.5,"n","n","n","occ1",18574
1,2020-11-08,"ID900.226001167741","creek_chub",39,113,14.1,"n","n","n","occ1",18574
1,2020-11-08,"ID900.226001167742","creek_chub",39,89,7.2,"n","n","n","occ1",18574
2,2021-02-21,"ID900.226001167742","creek_chub",39,91,7.6,"y","n","n","occ2",18679
3,2021-05-16,"ID900.226001167742","creek_chub",22,104,13.1,"y","n","n","occ3",18763
4,2021-08-14,"ID900.226001167742","creek_chub",35,114,17,"y","n","n","occ4",18853
5,2021-11-14,"ID900.226001167742","creek_chub",34,127,20.4,"y","n","n","occ5",18945
1,2020-11-07,"ID900.226001167743","bluehead_chub",24,95,8.9,"n","n","n","occ1",18573
1,2020-11-08,"ID900.226001167744","creek_chub",39,71,3.1,"n","n","n","occ1",18574
