Occasion,Date,Time,Tag_ID,Tag_ID2,Site,Species,Section,Length,Weight,Recap,Mortality,Fin_clip,Fin_recap,Vial_#,error_corrected,Comments,SIA?
12,9/8/2023,13:45:36.195,900.226001376632,ID900.226001376632,NorthCampus_CMR,striped_jumprock,6,145,27.1,n,n,y,n,5,NA,,
12,9/8/2023,13:20:48.551,900.226001376648,ID900.226001376648,NorthCampus_CMR,bluegill,4,93,13.2,n,n,y,n,6,NA,,y
12,9/8/2023,13:10:09.816,900.226001376641,ID900.226001376641,NorthCampus_CMR,creek_chub,4,95,8.8,n,n,y,n,12,NA,,
12,9/8/2023,14:05:36.945,900.226001376654,ID900.226001376654,NorthCampus_CMR,creek_chub,9,85,6.5,n,n,y,n,14,NA,,
15,05/17/2024,12:24:28.040,900.226001340036,ID900.226001340036,NorthCampus_CMR,creek_chub,39,68,4.3,n,n,y,n,15.241,,7/30/24 AL updated vial # from sorting,
12,9/8/2023,13:46:52.956,900.226001376626,ID900.226001376626,NorthCampus_CMR,bluegill,6,95,13.1,n,n,y,n,21,NA,,y
12,9/8/2023,12:49:11.951,900.226001376602,ID900.226001376602,NorthCampus_CMR,creek_chub,2,115,16,n,n,y,n,22,NA,,
12,9/8/2023,13:16:10.840,900.226001376617,ID900.226001376617,NorthCampus_CMR,creek_chub,4,110,14.3,n,n,y,n,24,NA,,
12,9/8/2023,14:04:41.506,900.226001376696,ID900.226001376696,NorthCampus_CMR,creek_chub,9,85,6.5,n,n,y,n,26,NA,,
12,9/8/2023,13:12:44.324,900.226001376681,ID900.226001376681,NorthCampus_CMR,striped_jumprock,4,90,7.6,n,n,y,n,29,NA,,
12,9/8/2023,13:40:43.984,900.226001698745,ID900.226001698745,NorthCampus_CMR,striped_jumprock,6,135,23,y,n,y,n,30,NA,,y
12,9/8/2023,13:54:32.710,900.226001376691,ID900.226001376691,NorthCampus_CMR,creek_chub,8,72,4.1,n,n,y,n,32,NA,,
12,9/8/2023,13:41:31.173,900.226001697124,ID900.226001697124,NorthCampus_CMR,bluehead_chub,6,96,9.8,y,n,y,n,34,NA,,y
12,9/8/2023,12:52:01.439,900.226001376627,ID900.226001376627,NorthCampus_CMR,creek_chub,2,88,8,n,n,y,n,35,NA,,
12,9/8/2023,13:37:32.232,900.226001697153,ID900.226001697153,NorthCampus_CMR,creek_chub,6,109,13.1,y,n,y,n,38,NA,,y
12,9/8/2023,13:55:55.652,900.226001376619,ID900.226001376619,NorthCampus_CMR,creek_chub,8,71,3.9,n,n,y,n,39,NA,,
12,9/8/2023,13:06:21.029,900.226001698890,ID900.226001698890,NorthCampus_CMR,creek_chub,4,103,15.7,y,n,y,n,42,NA,,y
12,9/8/2023,13:19:26.889,900.226001376669,ID900.226001376669,NorthCampus_CMR,green_sunfish,4,122,29.5,n,n,y,n,43,NA,,
12,9/8/2023,13:11:09.453,900.226001376621,ID900.226001376621,NorthCampus_CMR,creek_chub,4,98,9.9,n,n,y,n,45,NA,,
12,9/8/2023,13:17:06.393,900.226001376600,ID900.226001376600,NorthCampus_CMR,creek_chub,4,90,7.9,n,n,y,n,47,NA,,
12,9/8/2023,13:13:39.781,900.226001376685,ID900.226001376685,NorthCampus_CMR,creek_chub,4,110,15.2,n,n,y,n,49,NA,,
12,9/8/2023,13:26:37.076,900.226001697027,ID900.226001697027,NorthCampus_CMR,bluehead_chub,5,111,15.8,y,n,y,n,50,NA,,y
12,9/8/2023,13:27:19.206,900.226001376659,ID900.226001376659,NorthCampus_CMR,striped_jumprock,5,160,40.3,n,n,y,n,51,NA,,
12,9/8/2023,12:41:18.932,900.226001376615,ID900.226001376615,NorthCampus_CMR,creek_chub,2,120,18.1,n,n,y,n,52,y,11/27/23 AL species correction bluehead to creek chub,
12,9/8/2023,12:42:59.799,900.226001376662,ID900.226001376662,NorthCampus_CMR,creek_chub,2,150,37.8,n,n,y,n,54,NA,,
12,9/8/2023,13:44:19.843,900.226001376687,ID900.226001376687,NorthCampus_CMR,creek_chub,6,133,26.9,n,n,y,n,55,NA,,
12,9/8/2023,13:39:46.433,900.226001698893,ID900.226001698893,NorthCampus_CMR,green_sunfish,6,105,19.2,y,n,y,n,58,NA,,y
12,9/8/2023,13:05:48.590,900.226001341366,ID900.226001341366,NorthCampus_CMR,bluehead_chub,4,100,10.7,y,n,y,n,59,NA,,y
12,9/8/2023,13:07:04.874,900.226001376656,ID900.226001376656,NorthCampus_CMR,bluehead_chub,4,105,13.5,n,n,y,n,61,NA,,
12,9/8/2023,12:33:39.045,900.226001376636,ID900.226001376636,NorthCampus_CMR,bluehead_chub,1,91,8.5,n,y,y,n,62,NA,,
12,9/8/2023,13:43:12.657,900.226001376663,ID900.226001376663,NorthCampus_CMR,bluehead_chub,6,116,15.8,n,n,y,n,63,NA,,
12,9/8/2023,13:48:01.268,900.226001376682,ID900.226001376682,NorthCampus_CMR,bluegill,6,107,19,n,n,y,n,64,NA,,
12,9/8/2023,12:37:11.681,900.226001376670,ID900.226001376670,NorthCampus_CMR,bluehead_chub,1,77,4.4,n,n,y,n,65,NA,,
12,9/8/2023,13:36:48.119,900.226001697551,ID900.226001697551,NorthCampus_CMR,creek_chub,6,110,15.7,y,n,y,n,66,NA,,y
12,9/8/2023,13:29:16.802,900.226001376623,ID900.226001376623,NorthCampus_CMR,bluehead_chub,5,83,5.9,n,n,y,n,68,NA,,
12,9/8/2023,13:04:49.749,900.226001697631,ID900.226001697631,NorthCampus_CMR,creek_chub,4,105,11.9,y,n,y,n,71,NA,,y
12,9/8/2023,14:07:55.552,900.226001376695,ID900.226001376695,NorthCampus_CMR,creek_chub,9,70,4.4,n,n,y,n,72,NA,,
12,9/8/2023,13:15:08.199,900.226001376622,ID900.226001376622,NorthCampus_CMR,creek_chub,4,90,7.1,n,n,y,n,74,NA,,
12,9/8/2023,13:27:49.932,900.226001376611,ID900.226001376611,NorthCampus_CMR,bluehead_chub,5,70,3.7,n,n,y,n,75,NA,,y
12,9/8/2023,13:25:07.158,900.226001698896,ID900.226001698896,NorthCampus_CMR,green_sunfish,5,95,15.4,y,n,y,n,80,NA,,
12,9/8/2023,13:42:34.734,900.226001376692,ID900.226001376692,NorthCampus_CMR,green_sunfish,6,115,26.2,n,n,y,n,81,NA,,
12,9/8/2023,13:18:02.145,900.226001376637,ID900.226001376637,NorthCampus_CMR,striped_jumprock,4,82,6.1,n,n,y,n,83,NA,,
12,9/8/2023,13:07:45.635,900.226001376668,ID900.226001376668,NorthCampus_CMR,creek_chub,4,95,8.7,n,n,y,n,85,NA,,
12,9/8/2023,13:30:10.494,900.226001376658,ID900.226001376658,NorthCampus_CMR,bluehead_chub,5,81,5.6,n,n,y,n,86,NA,,
