Date,Occasion,Section,Species,Length,Comment
10/31/2020,1,1,DAT,35,
10/31/2020,1,1,RBS,35,
10/31/2020,1,2,DAT,46,
10/31/2020,1,3,BHC,62,
10/31/2020,1,3,DAT,55,
10/31/2020,1,3,BHC,39,
10/31/2020,1,3,DAT,61,
10/31/2020,1,3,DAT,58,
10/31/2020,1,3,BHC,49,
10/31/2020,1,3,BHC,42,
10/31/2020,1,3,DAT,52,
10/31/2020,1,3,BHC,32,
10/31/2020,1,4,BLG,55,
10/31/2020,1,5,RBS,35,
10/31/2020,1,6,BLG,92,
10/31/2020,1,7,BHC,42,
10/31/2020,1,7,DAT,59,
10/31/2020,1,7,DAT,49,
10/31/2020,1,8,CRC,29,
10/31/2020,1,9,DAT,59,
10/31/2020,1,9,DAT,62,
10/31/2020,1,9,DAT,32,
10/31/2020,1,10,RBS,57,
10/31/2020,1,10,DAT,37,
11/4/2020,1,11,RBS,58,
11/4/2020,1,11,RBS,59,
11/4/2020,1,11,RBS,50,
11/4/2020,1,11,RBS,55,
11/4/2020,1,11,RBS,35,
11/4/2020,1,11,BLG,57,
11/4/2020,1,11,BLG,55,
11/4/2020,1,11,BHC,42,
11/4/2020,1,11,BHC,50,
11/4/2020,1,11,BHC,41,
11/4/2020,1,11,BHC,42,
11/4/2020,1,11,DAT,53,
11/4/2020,1,12,BLG,43,
11/4/2020,1,13,SHINER,83,
11/4/2020,1,14,NA,NA,NO FISH
11/4/2020,1,15,RBS,55,
11/4/2020,1,15,RBS,29,
11/4/2020,1,15,RBS,38,
11/4/2020,1,15,DAT,47,
11/4/2020,1,15,DAT,50,
11/4/2020,1,15,DAT,31,
11/4/2020,1,15,DAT,32,
11/4/2020,1,16,BHC,52,
11/4/2020,1,16,BHC,43,
11/4/2020,1,16,DAT,62,
11/4/2020,1,16,DAT,50,
11/4/2020,1,16,DAT,41,
11/4/2020,1,16,RBS,27,
11/4/2020,1,17,KF,73,
11/4/2020,1,17,BHC,45,
11/4/2020,1,17,BHC,41,
11/4/2020,1,17,RBS,27,
11/4/2020,1,17,RBS,52,
11/4/2020,1,18,BHC,55,
11/4/2020,1,18,BHC,42,
11/4/2020,1,18,DAT,51,
11/4/2020,1,18,DAT,52,
11/4/2020,1,18,DAT,55,
11/4/2020,1,18,DAT,47,
11/4/2020,1,19,DAT,50,
11/4/2020,1,19,DAT,58,
11/4/2020,1,19,CRC,48,
11/4/2020,1,19,BHC,35,
11/4/2020,1,19,RBS,53,
11/4/2020,1,20,SHINER,78,
11/4/2020,1,20,LMB,122,
11/7/2020,1,21,BHC,61,
11/7/2020,1,22,GSF,62,
11/7/2020,1,22,DAT,54,
11/7/2020,1,22,DAT,55,
11/7/2020,1,22,GSF,35,
11/7/2020,1,23,KF,67,
11/7/2020,1,23,DAT,67,
11/7/2020,1,23,RBS,30,
11/7/2020,1,24,LMB,77,
11/7/2020,1,24,DAT,29,
11/7/2020,1,24,DAT,28,
